record_id,site,observation_date,collection_window,source_sheet,seconds_elapsed,speed_mps,walking_direction,distance_m,in_group,using_phone,texting,calling,holding_phone,gender_recorded,overtaken,overtakes,phone_follower,phone_follower_2,phone_follower_3,text_follower,group_follower
city_road_028,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,N,N,N,N,N,M,Y,,,N,,,
city_road_029,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,13.00000000000363,1.8461538461533304,away,24,N,N,N,N,N,M,,28,,N,,,
city_road_030,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.000000000001528,0.8999999999999313,towards,18,Y,N,N,N,N,M,,,Y,N,N,,
city_road_031,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.999999999997549,1.200000000000196,towards,18,Y,N,N,N,N,F,,,Y,N,N,,
city_road_032,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.00000000000059,1.714285714285642,away,24,N,N,N,N,N,M,,,,N,,,
city_road_033,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,23.000000000001997,1.0434782608694746,away,24,N,Y,Y,N,Y,F,,,,N,,,
city_road_034,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.1250000000000488,towards,18,N,N,N,N,N,F,,36,Y,Y,N,,
city_road_035,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,23.000000000001997,1.0434782608694746,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_036,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,13.999999999995794,1.285714285714672,towards,18,N,Y,Y,N,Y,F,Y,,N,N,N,,
city_road_037,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,8.99999999999661,2.000000000000753,towards,18,N,N,N,n,N,M,,,Y,Y,Y,,
city_road_038,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,Y,N,N,n,N,F,,,,N,,,
city_road_039,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,Y,N,N,N,N,M,,,,N,,,
city_road_040,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999994508,1.500000000000515,away,24,N,N,N,N,Y,M,,,,N,,,
city_road_041,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.5000000000000653,away,24,N,Y,Y,N,Y,F,,,,N,,,
city_road_042,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.1250000000000488,towards,18,N,N,N,N,N,M,,,Y,N,N,,
city_road_043,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.00000000000059,1.2857142857142316,towards,18,N,N,N,n,N,M,,,Y,N,N,,
city_road_044,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.000000000005855,1.4117647058818668,away,24,N,Y,Y,N,y,F,,,,N,,,
city_road_045,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.000000000005855,1.0588235294114001,towards,18,N,N,N,N,N,M,,,Y,Y,N,,
city_road_046,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.000000000001876,1.4999999999997655,towards,18,N,N,N,N,N,M,,,Y,Y,N,,
city_road_047,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_048,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999994508,1.1250000000003861,towards,18,Y,N,N,N,N,F,,,Y,Y,Y,,
city_road_049,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,11.999999999992284,1.5000000000009646,towards,18,Y,N,N,N,N,M,,,Y,Y,Y,,
city_road_050,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,38.999999999996504,0.6153846153846706,away,24,N,N,N,N,N,F,Y,,,N,,,
city_road_051,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.5999999999997498,away,24,N,N,N,N,N,F,,50,,N,,,
city_road_052,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,10.999999999995325,1.636363636364332,towards,18,N,N,N,N,N,M,,,Y,Y,Y,,
city_road_053,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.411764705882265,away,24,N,Y,Y,N,Y,F,,,,N,,,
city_road_054,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,29.999999999999893,0.8000000000000028,away,24,Y,Y,Y,N,Y,F,,,,N,,,
city_road_055,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,29.999999999999893,0.8000000000000028,away,24,Y,N,N,N,N,F,,,,N,,,
city_road_056,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.1250000000000488,towards,18,Y,N,N,N,Y,F,,58,Y,N,N,,
city_road_057,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.1250000000000488,towards,18,Y,N,N,N,N,M,,58,Y,N,N,,
city_road_058,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,13.999999999995794,1.285714285714672,towards,18,N,N,N,N,Y,F,Y,,Y,N,N,,
city_road_059,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,21.000000000003283,1.1428571428569643,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_060,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,26.999999999999424,0.8888888888889078,away,24,N,Y,Y,N,Y,M,Y,,,N,,,
city_road_061,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.00000000000106,1.0588235294116988,towards,18,N,N,N,N,Y,F,,,Y,Y,N,,
city_road_062,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.999999999998487,1.1428571428572252,away,24,N,N,N,N,N,M,,60,,N,,,
city_road_063,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999994508,1.500000000000515,away,24,N,N,N,N,N,F,,,,N,,,
city_road_064,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.000000000001876,1.4999999999997655,towards,18,N,N,N,N,N,M,,,Y,Y,Y,,
city_road_065,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.000000000001876,1.4999999999997655,towards,18,N,N,N,N,N,M,,,Y,N,N,,
city_road_066,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,23.999999999998956,1.0000000000000435,away,24,N,N,N,N,Y,F,,,,N,,,
city_road_067,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,27.00000000000422,0.88888888888875,away,24,Y,N,N,N,N,M,,,,N,,,
city_road_068,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,27.00000000000422,0.88888888888875,away,24,Y,N,N,N,N,M,,,,N,,,
city_road_069,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,14.00000000000059,1.2857142857142316,towards,18,N,N,N,N,N,M,,70 71,Y,N,N,,
city_road_070,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.999999999999304,1.1250000000000488,towards,18,N,N,N,N,Y,F,Y,71,Y,N,N,,
